,avg_log2FC,p_val_adj
SOX4,5.8734097,1.0150589891756638e-252
SSBP2,4.6061416,2.849855896228221e-231
MYO18B,5.326641,7.940255403485446e-216
TPM4,3.508395,1.0046266291236545e-201
GNAQ,3.7810476,1.949152309475754e-189
MEF2A,3.5185168,3.8598442601056956e-184
MIR181A1HG,4.429658,2.379915293005445e-180
CASC15,5.171286,1.325888578005183e-173
PLCB1,3.6943161,1.3772931035009205e-173
ARHGEF7,2.8878696,8.854735977344136e-164
STT3B,2.557579,2.8496359603678245e-160
GAB2,3.474738,1.5045956953392432e-158
AFF3,5.4043727,2.1610094943395297e-158
ARMH1,4.5704246,5.779473757430549e-147
PTEN,2.916009,3.9512763948206474e-145
DST,5.211896,1.2697229269722732e-144
MEF2C,5.3519297,2.944267639461711e-144
CD99,2.5434597,1.0206863388161216e-142
MSI2,2.7431216,6.945226235546913e-142
PCBP3,3.7109199,1.6395925332983854e-138
MED13L,2.0520337,1.3980805903097926e-137
CHST11,2.2538273,4.2338914466338947e-135
MAML3,5.1311116,2.5548302083501135e-133
CCDC88A,4.3745117,1.4050263292562433e-130
TCF12,2.4820797,1.789488528172008e-127
SIPA1L1,1.9660697,2.4146042939479555e-126
GALNT7,3.175074,3.141337089121503e-123
HSP90B1,2.57842,4.88522451416047e-119
FCHSD2,3.2995007,1.9788256017606366e-116
PRKCB,1.9924715,1.1923596382432883e-115
LDLRAD4,3.2509773,2.1265516036145306e-108
GNA15,4.11533,2.5261058723734068e-108
TRDC,3.684449,2.3569469408229897e-107
SH3BP5,3.9322453,3.8435928643873175e-104
PAN3,1.7723552,6.425200747757264e-104
LPAR6,3.8156114,1.8095521399534183e-103
TTTY14,3.9184794,6.323951913932783e-102
ATP9A,4.488901,3.2960776637639824e-101
ZBTB20,1.9169382,4.666106798457395e-101
FTH1,1.5515888,8.5752471209125e-101
LPCAT2,5.5884337,2.731114677710268e-99
ZMIZ1,4.095207,4.135367080181375e-97
MAPK14,2.8241305,4.5420866566239086e-97
PDGFC,5.283397,1.4011839419849961e-95
LGALS1,3.482925,2.110748706682685e-95
ELF2,1.8972313,1.2234064308978797e-93
IFI44,2.9443586,1.6185964169006863e-93
RNF130,3.574471,9.03882955066566e-93
INPP5A,2.9805017,1.255207291615254e-92
CDK6,2.566692,1.645005373673137e-92
KDM5B,2.7133665,7.615555339614381e-92
GNB4,4.631172,1.1271200846607188e-89
WDFY2,2.5872138,1.2704629328996423e-89
MACF1,1.856259,5.306354079719262e-87
ATP2C1,2.3727794,1.1571519925319555e-86
HMGB1,1.189697,2.518694192659786e-84
TFPI,4.7347684,8.323858463385186e-84
XYLT1,3.1942787,9.513809390413878e-84
H2AC6,4.431743,9.549441931272653e-84
TTC7A,2.7257476,1.4012583254267386e-83
NUCB2,2.4462273,2.7189677782103085e-83
ADAM10,2.6351008,2.883632747607704e-83
HSH2D,3.2442625,1.0058149463578e-82
ST6GALNAC3,4.0614905,9.875202748240346e-82
ANKRD28,2.0895305,1.2863827599267092e-80
FNIP2,3.6872876,1.8900920319467958e-79
JARID2,1.8119814,3.872452681144525e-79
ZFAND3,1.485247,5.48530605586481e-79
GPX1,3.076498,2.2192022819737854e-78
SPIN1,2.7355642,2.6285972226522257e-78
FAM169A,2.9758036,9.93059837031376e-78
LRRFIP1,1.4619375,3.09345954389131e-77
IFI44L,3.7756953,4.369288576026785e-77
TEC,4.0158577,2.776715337883416e-76
ATXN3,2.6515574,2.795530975687872e-76
ABTB3,2.2846842,6.098481047155568e-76
TOX,1.6689036,3.1329528248980256e-73
ABLIM1,1.8237237,7.624994897284378e-72
BAZ2B,2.2977676,1.907257541342126e-71
DOCK5,4.435583,5.811572042477112e-71
HDGFL3,2.999516,2.6119083445806874e-70
CHD9,2.589378,2.6677936834320527e-70
TFDP2,1.8682262,7.930651167209399e-70
SLC39A8,2.5727546,1.1990423163741396e-69
MAN1A1,1.9934875,2.541806231920442e-69
UBE2Q2,1.9643085,2.6474508685115664e-69
FHIT,3.669244,2.9804744589487575e-69
MACROH2A1,2.3530846,3.770830614197706e-69
MCTP1,4.2715335,8.320043161333411e-69
SORL1,2.263937,2.2350608672570684e-68
TMEM131L,1.945996,2.3352040894915516e-68
YWHAH,3.2842112,2.6381007144826506e-68
INPP4B,2.0312786,4.7207761607780064e-68
RAP1GAP2,2.699951,2.9293344290847012e-67
RCOR3,2.3362331,1.4877814625794223e-66
STMN1,3.1804104,1.7324247466761603e-66
RCOR1,1.7540874,1.5710634601346293e-65
LATS2,4.5893197,5.975781719185399e-65
VEZT,1.7986299,6.825485538762148e-65
AIF1,4.2645483,9.076308750024803e-65
UBASH3B,2.1102428,6.703743245298814e-64
TTC3,1.6536746,2.1902012898824943e-63
RUFY3,3.2082515,5.796445073960975e-63
ZFAND6,1.2805159,1.0505227250439472e-62
FTX,2.3316016,2.0258241068831462e-62
SMIM24,5.6721115,2.247596754018162e-62
RIPOR2,1.968741,2.3104210827929666e-62
LRRC28,4.047839,2.885872647884876e-62
ANKRD10,2.2861624,5.565279188623365e-62
SEPTIN6,1.7247212,8.707080911176966e-62
SLC12A6,2.9693146,1.4210468059863198e-61
PROM1,5.568539,2.1099494282853734e-61
CHKA,2.6383352,3.053214253386485e-61
