,avg_log2FC,p_val_adj
CASC15,5.6944976,0.0
SOX4,5.247437,0.0
GNAQ,3.1132464,0.0
SSBP2,3.8178396,0.0
CDK6,3.8085911,0.0
MED13L,2.2749398,0.0
PTEN,2.5832665,0.0
MIR181A1HG,3.9177763,0.0
TOX,2.5730848,0.0
MSI2,2.5450864,0.0
AFF3,3.206827,0.0
STT3B,2.2258108,0.0
CD99,2.3960366,0.0
ANKRD28,2.6212268,0.0
RNF130,3.643419,0.0
CCDC88A,4.126901,0.0
STMN1,3.6690586,0.0
GAB2,3.7556224,0.0
GALNT7,3.1505578,0.0
RUNX1,2.071782,0.0
FCHSD2,2.5095763,0.0
ATP2C1,2.618085,0.0
TPM4,2.5254576,0.0
MACROH2A1,2.5192723,0.0
ARMH1,3.5884259,0.0
MED12L,5.348709,0.0
NUCB2,2.1808324,0.0
CHST11,1.8745042,0.0
XYLT1,2.5775516,0.0
PLCB1,2.8688242,0.0
GIHCG,3.8036637,0.0
PAN3,1.5877564,0.0
TCF12,1.8014139,0.0
LDLRAD4,2.093191,0.0
RAP1GAP2,2.572561,0.0
NF1,2.330704,0.0
ELOVL5,1.856094,0.0
CUX1,2.2242434,0.0
BAZ2B,2.5353427,0.0
PCBP3,3.2854533,0.0
TASP1,3.7175703,0.0
GNA15,4.1866226,0.0
ENSG00000271893,5.0061474,0.0
GALNT2,3.1003988,0.0
MEF2A,2.233402,0.0
HMGB1,1.302658,0.0
ZMIZ1,3.5335934,0.0
ZNRF1,3.9767613,0.0
MAST4,3.4860024,0.0
MZB1,4.529098,0.0
CHD9,2.2186797,0.0
MAML3,3.2401981,0.0
PALM2AKAP2,3.488477,0.0
SCAI,2.8823564,0.0
SPTBN1,2.1402056,0.0
GLUL,3.253862,0.0
PTBP2,1.6836774,0.0
DLEU1,3.3630226,0.0
RB1,1.9886492,0.0
GSTP1,2.0623372,0.0
TFDP2,1.8289883,0.0
KHDRBS1,1.6735435,0.0
GRK3,3.964101,0.0
NREP,4.9747453,0.0
ENSG00000249061,5.74338,0.0
JARID2,1.7092443,0.0
FIRRE,4.6116776,0.0
TEC,4.087043,0.0
SMIM24,5.2706566,0.0
CD2AP,1.807765,0.0
LPAR6,3.2372568,0.0
MAP4K4,1.623184,0.0
GTF2I,2.3087451,0.0
KDM1A,2.302721,0.0
SEPTIN6,1.4554535,0.0
N4BP2,2.0935118,0.0
TUBB,2.4541478,0.0
HIVEP3,2.176925,0.0
KDM5B,2.3615506,0.0
RUFY3,2.9580705,0.0
ARPP21,4.6981473,0.0
MYB,3.322162,0.0
RTN4,1.6204026,0.0
CCDC26,4.69823,5.767470318085949e-305
MARCKSL1,2.5597453,1.1089120986265653e-304
STAM,2.4312346,4.678295911093822e-303
SMARCC1,1.4588921,5.559584900470329e-303
UBASH3B,1.7930228,1.0531878864305926e-302
SH3BP5,2.9032295,4.2522061582431524e-302
STAU2,2.173592,1.7468054954058624e-301
PARD3,4.3517995,1.4314337078622332e-300
DNAH14,5.2712946,3.330333219885693e-300
