,avg_log2FC,p_val_adj
CASC15,7.1995444,0.0
SOX4,6.1806197,0.0
MIR181A1HG,4.971071,0.0
AFF3,3.9296598,0.0
SSBP2,4.0254035,0.0
MYO18B,6.993578,0.0
CDK6,3.9815242,0.0
TASP1,4.761483,0.0
SUPT3H,3.0809472,0.0
RNF130,4.5578694,2.1593555114604926e-294
LPAR6,4.5655403,1.6560104329543714e-289
PTEN,2.8537772,1.810401615039808e-287
SCN3A,7.0980105,6.333439611582112e-278
TOX,2.6888444,7.018053751168141e-265
MED13L,2.273965,2.497051658419534e-263
CD99,2.434465,6.573154342938282e-258
ETV6,2.485308,6.126682659593776e-245
GNAQ,2.5975375,3.063597570316394e-238
GAB2,3.8650422,7.34152720032492e-238
TPM4,2.7856932,5.912573531471779e-235
PLCB1,3.326363,1.9129883751646547e-221
CHST11,2.0814376,6.459682611759508e-211
STT3B,2.1922166,1.734920649101456e-209
CA8,7.153002,3.42316867638717e-209
CCDC26,6.980838,4.2175686350450824e-206
ARMH1,3.9513576,2.0411329644790725e-204
RHEX,7.019808,4.974240793008103e-200
ITPR2,2.2718725,5.334551159934343e-197
HES4,6.2087836,1.9088892510527662e-194
ANKRD28,2.718688,1.0673994333119565e-185
PAN3,1.7091213,1.2183669663134985e-185
MSI2,1.9140741,2.053235241351645e-184
SPINK2,5.9263515,2.396582206956855e-183
CD7,2.297519,4.1846687038527925e-182
RCBTB2,4.4894667,4.095675528365376e-181
MEF2A,2.491422,1.7083006142655775e-180
RUNX1,1.9338094,7.170302986486071e-180
GSTP1,2.6277025,3.6352029247478085e-177
MACROH2A1,2.7405877,2.1696375353127586e-174
MED12L,6.8781085,2.602990587428078e-171
MAML3,3.485734,4.796405078892269e-171
TIAM1,3.4729843,3.307526676283803e-169
SCGB3A1,7.3433075,1.8543189483915498e-166
RAP1GAP2,2.5989194,3.562636156601783e-163
ARHGAP32,4.080357,3.562636156601783e-163
ARPP21,7.089234,5.144978355568469e-162
ATP2C1,2.6107507,5.714080860863452e-156
TEC,5.0919366,7.25251245157642e-155
CKLF,2.1895757,9.605191703103937e-150
BLK,5.3510127,1.730390719201615e-149
S100Z,6.465738,3.456692646784439e-148
MZB1,5.5537553,2.349574159819621e-145
BAZ2B,2.9092505,2.5449224734157394e-143
ELOVL5,1.9628584,1.3663128921799572e-140
XYLT1,2.523296,6.207320576574718e-140
TFPI,8.132861,4.063784012117593e-139
KCTD1,6.739249,2.1769385532804477e-138
RB1,2.264689,1.903476594042676e-137
CD47,1.7703383,1.903476594042676e-137
FCHSD2,2.11401,1.2877226011102352e-136
IQGAP2,1.4789613,4.954726739713285e-135
GRK3,4.430247,1.2936175709657746e-132
PCBP3,3.113909,1.487175646201816e-131
SPTBN1,2.4025385,5.868078321575045e-131
