,avg_log2FC,p_val_adj
TASP1,4.2461743,7.070790782460517e-231
CDK6,3.8859484,3.186835588567857e-230
CD99,3.3370264,1.3285655168419105e-226
CCDC26,4.387387,4.8680389031259386e-219
GAS2,4.4012365,1.0608096808591064e-213
MSI2,3.1576858,1.3095010977421575e-210
GAB2,4.586831,6.76723102101951e-200
CASC15,4.0976477,1.2156636914571147e-199
SSBP2,3.4402204,8.910033483023717e-197
ITPR2,3.0422976,1.3345662439288287e-195
PEX5L,4.29751,3.023854966258236e-188
FHIT,3.2746222,3.7126900886773627e-184
HIVEP3,3.2908764,2.5570156657949373e-178
PTPRD,4.1632767,3.752024071800789e-171
GALNT2,3.5371718,4.492451588901102e-170
MZB1,3.8070273,1.9977440712788263e-163
DNAH14,4.506633,3.403635414296528e-158
LINC01819,4.0289454,4.607866646637788e-156
MAST4,3.8026643,3.9730434693246885e-155
TFEC,4.3499446,1.6757370167538245e-150
CDK6-AS1,4.2694564,4.047850410352215e-150
TRIO,3.6566668,2.9780820834548803e-149
DANT2,4.733713,1.2385503601053378e-147
PARD3,4.007877,3.541916071900855e-144
NUCB2,2.4850461,7.018455374977484e-144
NF1,2.87475,8.440715221011124e-144
DLEU1,3.4683459,2.59674339696856e-143
VAV3,2.6520607,2.9854186720662876e-140
ANKRD28,2.8623743,4.245197575179859e-140
CCDC138,3.2662683,7.035955993074534e-140
GXYLT2,3.7107291,8.519643962989654e-138
NDST3,4.271216,3.927613169692453e-137
RAP1GAP2,2.8489041,2.9836106393839724e-135
DPYD,1.9901524,2.5802515357005994e-132
GNAQ,2.528191,1.0980294514165171e-131
FIRRE,3.7950225,3.918453173270085e-127
XG,3.7806737,2.3870162819674955e-125
ARPP21,3.3442397,5.785337692997931e-125
MED13L,2.1305556,2.2410291823136403e-124
FCHSD2,2.6432292,4.908988592842577e-122
XYLT1,2.6915514,1.490084213255919e-120
TBXAS1,3.542333,2.390558248259749e-120
GALNT7,3.0740013,2.2329841902584633e-119
MME,3.6257496,8.825979008137058e-116
PRKCE,2.583813,1.9233512632981734e-115
LDLRAD4,2.4619093,1.3346094938298584e-114
STMN1,2.9448283,6.2566362035618424e-114
FGGY,3.3294778,2.219610110860539e-111
GIHCG,3.0907874,7.641413872372215e-110
GNPTAB,2.4050496,7.267728343606458e-109
ETV6,2.3925982,1.4863783458728272e-108
NREP,3.7861114,1.827773018283058e-107
RUNX1,2.022395,4.297707160341975e-107
ARMH1,2.9839263,1.3124841291840578e-106
MACROH2A1,2.4586933,1.3758961735007802e-106
CNOT6,2.9799745,3.0105833396484265e-106
LINC02664,4.3462157,6.897594969232573e-106
TPTEP1,4.0176816,2.4542108857188177e-105
CCDC88A,3.2261987,4.381992809901912e-105
PTEN,2.3240016,4.408387385144163e-105
SCAI,3.1076722,1.1722676195253328e-104
NBEA,3.3971648,1.58734865710517e-104
RCBTB2,3.281712,3.74998248429898e-104
SPRED2,3.4254544,5.774156754851476e-103
RFX8,3.424924,4.295525652288514e-102
RNASEH2B,2.493383,9.832671448393433e-100
LZTFL1,3.3621454,3.110683822945054e-99
CRNDE,3.7544765,7.095749108931643e-99
CUX1,2.2147083,1.6588064620994893e-98
SOX4,3.2299502,1.7924368510722074e-96
STT3B,2.0606327,5.37471201305759e-96
DNTT,3.1811898,5.982855130180017e-94
PLCB1,2.3353074,8.17069762439102e-94
UBASH3B,2.4849205,8.852619378457913e-94
IGF2R,2.349673,1.2821014786897045e-92
TOX,2.293045,2.5040577673894358e-92
BAZ2B,2.3360329,1.478420412393082e-91
LINC03000,3.9226182,1.5508777893885577e-91
