,avg_log2FC,p_val_adj
SOX4,4.6022167,1.052319472186759e-96
CASC15,4.918213,2.481679932235587e-94
TOX,3.7422597,3.711301130867729e-86
TRBC1,2.9437242,4.868615741805166e-86
MIR181A1HG,3.7686608,9.050024215299559e-85
RNF130,4.1314626,9.788179620289072e-85
RHEX,4.9119353,3.7017549561258826e-82
GNAQ,3.1179087,1.1886367114033817e-81
DLEU1,3.9857085,3.231570030271453e-79
TSPAN7,5.0567183,6.056929973833014e-76
MED12L,4.309564,2.760103019232427e-75
SPTBN1,2.9750988,8.906453617492044e-74
STAM,2.9788525,1.811800942205694e-70
TRGC2,3.4566877,1.1192763054187438e-69
PPM1H,4.954523,1.1993774379981908e-65
PALM2AKAP2,3.5275772,4.169173152590696e-65
HACD1,5.2020845,5.459696832383486e-64
ATP2C1,2.969781,2.751019868848879e-63
ITM2A,2.905025,1.6952585993694317e-62
ELOVL5,2.6181736,9.84366938951779e-62
RUNX1,2.1325147,1.267493678176557e-61
HPGD,4.1559258,9.864848315612928e-61
ZNRF1,4.2958713,4.126269937233381e-58
STMN1,3.3669946,4.654439780849778e-58
AFF3,3.0307875,8.667176220163856e-55
IKZF2,2.8516288,1.2827120436561127e-54
MYB,3.8762555,1.1907532090703707e-53
GRK3,4.1771126,5.7871926782879935e-53
KLRB1,3.1594868,8.937203429936513e-53
PHACTR3,4.7699375,1.899701473264464e-51
DPF3,4.0912337,1.433005219270296e-50
PARD3,3.9609344,3.221293672289337e-50
ACTG1,1.8779936,4.0847329688424157e-50
FIRRE,4.116346,4.1699856799010873e-50
JPT1,2.6711028,1.6151166015082267e-49
MED13L,1.9209541,1.3726466459701473e-48
FUT8,2.434042,2.93333155836042e-48
HHIP,4.7564445,4.2012267473904356e-48
CDK6,2.5941994,7.371850885822262e-48
CAPG,3.7297733,7.755184342091017e-47
PGM2L1,3.082384,7.755184342091017e-47
PTEN,2.1773584,2.7615506471444584e-46
GIHCG,3.5800843,6.68721959073465e-46
CCDC88A,3.3523166,7.425736291995797e-46
JARID2,2.1265392,7.930736795637213e-46
ACAP2,1.8286372,1.5074217861254036e-45
NFATC3,2.1171675,1.3105573115179149e-43
ALOX12P2,4.465318,1.895965215614668e-43
ZBTB16,3.402857,1.895965215614668e-43
GLUL,3.3060625,6.553729644333071e-43
RAB32,4.9719596,2.572335402352124e-42
TPM4,2.2944098,2.629611459551597e-42
STT3B,1.9443668,7.577827006404007e-42
LINC01221,4.748414,8.788993652705726e-42
LINC01934,2.3260794,1.2135523339681415e-41
MARCKSL1,2.9124186,7.790803603365642e-41
LCP2,2.0756977,1.3131402289974054e-39
KRT1,4.4359655,1.4993698122573387e-39
ZMIZ1,3.3058262,2.9568454608433356e-39
ADAM10,1.9672904,4.585923841136742e-39
ZNF385D,3.7818654,6.523943438493454e-39
SMG7,2.2451055,1.7338328520760103e-38
TBL1XR1,1.9467368,2.1437164231790993e-38
H3-3A,1.6117963,2.7335524395099226e-38
CHST11,1.7027042,7.270565809374075e-38
STAT5A,2.5011282,1.0199120998491873e-37
ARHGAP32,3.3205662,1.0975521842957803e-37
PDLIM1,3.8583403,4.26039299618748e-37
BCL7A,3.9736295,4.521217081044631e-37
KHDRBS1,1.7327845,1.0748864264214232e-36
HMGB1,1.3326675,3.0042629802129813e-36
MACROH2A1,2.1710684,5.093313204565465e-36
PTMA,0.9049521,8.875369079236908e-36
UBE2E1,2.121864,2.0321644125810346e-35
RORA,1.5509666,2.264373435545889e-35
HNRNPR,1.749131,5.803685515199517e-35
KDM1A,2.3394809,8.016096371285651e-35
MARCHF6,1.7122076,1.445271575252689e-34
CAPRIN1,2.0060499,2.321089215097118e-34
CHD9,2.1155858,2.597863197143642e-34
PPIA,1.2907745,5.81098920197295e-34
AFF2,4.363314,1.4594852474145452e-33
SMARCC1,1.5440433,2.1499122927141588e-33
NF1,2.177803,2.3962418902901893e-33
SEPTIN6,1.5037677,3.547514762573829e-33
ABHD17B,2.4807715,3.708474140842597e-33
PTBP2,1.8394289,4.207736335882001e-33
LIPC,4.0667815,6.31140521452428e-33
RNASEH2B,2.1386085,9.998111588379292e-33
CDCA7,3.2644022,1.5950921071034885e-32
HNRNPA1,1.2917345,3.547983893121329e-32
HHIP-AS1,5.2959857,6.869128271390373e-32
SH3BP5,2.413012,6.962327159108238e-32
GTF2I,1.9168261,9.6580383620323e-32
LINGO2,2.9152422,1.158559875496347e-31
SNRPE,2.2414947,3.3991565789766377e-31
ANKRD28,1.9907291,4.845643352256339e-31
HDAC2,1.9361504,5.12915399639547e-31
TCF12,1.7074677,7.43992311505218e-31
CUX1,1.7487981,7.597313871243055e-31
SET,1.3426702,8.900125282531531e-31
PRDX1,2.2739165,1.1616567893387892e-30
TUBB,2.2354999,1.4698664097610888e-30
HDAC9,2.669183,1.5877148193618925e-30
LRP12,4.080275,2.32874011700811e-30
PPM1A,1.9745104,2.5517708719916288e-30
DIAPH1,1.5834389,4.420816553999831e-30
RAP1GDS1,1.7428324,1.8448953808482873e-29
YWHAE,1.7340736,2.413854800173154e-29
VIM,1.4110032,2.620831634857027e-29
FCHSD2,1.9507537,3.618456837455245e-29
SLC12A6,2.070849,1.0651977602281702e-28
CEP70,2.9029734,1.3395014752860484e-28
CDKN2A,2.9959083,1.4799286970621268e-28
TEC,3.636825,1.5392787417192597e-28
GNA15,3.6675181,2.5061554394328037e-28
GATA3,2.248632,6.485477630484621e-28
PREX2,5.3027735,8.017830562853527e-28
CALR,1.9029812,8.452483922727519e-28
TXN,1.9673862,9.054258920708865e-28
POU2F1,1.8645402,1.5395781092202765e-27
DLG1,1.600704,1.5440061681202002e-27
TOX2,3.4887567,1.859604104789728e-27
TIAM1,2.5343947,4.351264757714763e-27
ALOX5AP,2.2405758,5.191444069430041e-27
BZW2,2.1837304,5.583615914916107e-27
KRT72,3.8819568,6.803112240167748e-27
NSD2,2.564566,7.289354589609503e-27
YBX1,1.3888826,7.289354589609503e-27
CBX3,1.5989705,9.034379109050507e-27
UBASH3B,1.8737713,1.0065543254583037e-26
BAHCC1,4.199773,1.9010136407626348e-26
GALNT7,2.0741298,3.829728741812309e-26
MT-CO1,0.5175267,5.871363163781984e-26
TNFAIP8,1.4257742,7.413319925904192e-26
CRNDE,4.289607,8.202210030301501e-26
HNRNPAB,1.9794153,1.0589942160714584e-25
PPP3R1,1.426778,1.2580736147946873e-25
