,avg_log2FC,p_val_adj
SOX4,6.1987524,3.51806320842282e-102
GNAQ,3.9744527,5.515848188090565e-95
CHST11,3.1819494,1.6573735598974225e-94
MYO18B,7.342439,5.478173595159408e-93
SIPA1L1,3.3868957,2.36072778806873e-91
SPINK2,7.1373644,1.6546118268112431e-90
ZBTB16,4.5658813,2.0761470628735474e-90
DLEU1,4.784503,8.990943878552517e-88
HACD1,7.56297,6.7734507423582325e-87
CHN2,3.5513718,1.14324269773134e-84
SLC12A6,4.39326,2.0057255599861543e-84
TNS3,6.856972,5.264391142598409e-84
CUX1,3.2730956,8.089944920796709e-84
STAM,3.7522147,1.2081087881724742e-83
CLEC2B,3.012706,8.326844666589807e-82
MED12L,6.9934564,9.845274287549909e-82
GNA15,5.287904,2.1501487250343735e-79
SPTBN1,2.9121149,3.658791179799856e-79
SERTAD2,4.5050607,1.370393853489119e-78
TPM4,3.7287376,2.178404786746532e-78
CDH4,8.537187,3.431478488436726e-78
CSMD1,7.6728625,1.467855501282909e-77
MCAM,7.4826407,6.2298432752357265e-77
DNAJC1,2.845099,3.062693720043827e-76
CDK6,3.9480305,1.7947231126725636e-75
RNF220,4.544275,2.2143581600513927e-75
ARPP21,7.4090805,4.88933915412556e-75
SPRY1,5.259859,6.001817740434369e-75
TRIM24,4.867042,8.658938576852997e-74
SPIRE1,6.4629393,2.6351366864308886e-71
SLC22A23,5.479459,4.779015084638692e-71
RORB,6.8030577,5.027733758804227e-71
ZNF704,6.0734572,1.9388532355385884e-70
CD82,5.1088953,6.633725169413508e-69
GSTP1,2.7962608,9.990418500185978e-69
MAL,3.9828362,6.834432067783706e-68
STMN1,5.007782,1.004157370920792e-67
XYLT1,3.1578877,1.1722478381007371e-67
ACSM3,7.8029776,1.583864218142833e-67
RUNX1,2.545242,2.0242943691445187e-66
ATP2C1,3.4490764,1.0276078250106208e-65
LRP12,6.4100037,1.892592373916233e-65
MEIS1,9.440994,1.938567870084565e-65
PHEX,7.670558,1.0239012045551743e-64
SEC61B,2.277687,9.040632542862057e-64
TLE1,4.1782684,1.1767626799459424e-63
PALM2AKAP2,4.8073187,1.595703522088503e-63
TAFA2,4.7007174,3.973876079788371e-63
TRDC,3.479908,4.766705856355482e-63
PTPRG,9.521561,5.683186270775483e-63
RYBP,3.0175004,9.554315536238389e-63
SSBP2,3.1687365,5.775472865100346e-62
PCBP3,5.0957756,1.4551368400916695e-61
RNF130,4.0657187,2.5806667402084792e-61
MICAL2,3.9777699,3.9686235703405655e-60
MAP7,7.059664,2.1236604029926346e-59
GRK3,5.6161585,7.173752947067508e-59
ARHGAP32,4.2638874,4.586582483271126e-58
SLC39A8,3.826196,8.842291139609003e-58
LDLRAD4,2.8713348,2.4283471526581353e-57
PTMA,1.0930214,1.3711387564594484e-56
ABTB3,2.769383,3.9316654355423774e-56
IGLL1,30.28016,1.3081634528122882e-55
GLUL,4.407924,1.5340918106997079e-55
PCNT,3.7710876,3.8767564478393324e-55
MARCKSL1,4.1332226,4.031144494842049e-55
ITM2A,2.7595701,4.783841377520168e-54
NTM,9.279794,6.091838984218522e-54
ERG,6.5467267,2.0662472584308682e-53
PRDX2,2.6683803,2.5687141181161822e-53
SLC44A1,4.640019,3.343450929826615e-53
TIAM1,3.8407085,3.5588464803569986e-53
PDE10A,6.856733,3.7560953556768013e-53
TGFBR1,4.174393,3.90826859526375e-53
ARHGEF7,2.5773592,9.074514537829954e-53
ANKRD28,2.4696038,1.6963691576224244e-52
STT3B,2.0664573,2.2431516351517596e-52
NBAS,2.5427167,1.0981380843929304e-51
KLRF2,29.549974,1.4129878283100523e-51
MAPK14,2.6943817,3.215884445081665e-51
LAPTM4B,5.3902464,3.263047578871007e-51
JPT1,2.9520905,4.5266316570831907e-51
TSPAN7,8.418587,9.62672694655245e-51
PEAK1,3.8421535,1.5386061864395392e-50
MDK,6.5951905,1.619653321426606e-50
TIMP3,8.06466,4.67275397091517e-50
CHSY1,3.8558524,4.730305992305814e-50
HMGB1,1.6890026,5.1201556664459045e-50
EEPD1,4.700089,1.3081283622825676e-49
AKR1C1,7.5821514,3.2209897480399475e-49
KIF5B,2.2557619,1.0493822306715498e-48
CABLES1,5.9970875,1.3795240096575594e-48
FCHSD2,2.6440713,3.680312108416637e-48
PRKCA,2.188138,4.8316923607163503e-48
HOMER3,7.4783707,6.267845747349171e-48
MSI2,1.9354322,7.099984587328443e-48
JARID2,2.1340861,9.939101505628511e-48
TRIB2,3.7499807,2.3364669202135004e-47
HS6ST1,4.9423075,6.489006828307641e-47
GIHCG,4.7270856,6.699640195469271e-47
ITM2C,4.177969,6.751703745517253e-47
LGALS1,3.4862971,1.081206229390123e-46
MT-CO2,0.57653165,2.054083247581717e-46
MAML3,3.9680746,2.9259378143617472e-46
SLC25A33,3.283759,4.313402642575429e-46
GAPDH,1.8073634,4.624573486494822e-46
NTRK3,29.22312,4.918783991087827e-46
ABHD17B,2.7442203,6.408451570411014e-46
MIR181A1HG,3.2585826,1.1276801797079428e-45
TMPRSS9,6.4266963,1.4299196123749533e-45
OSBPL10,5.6600814,3.6767243451892574e-45
ATRNL1,8.786731,6.630257338112498e-45
ETV6,2.5996716,7.024810645680986e-44
TYMS,6.0809507,8.569475784594297e-44
FTH1,1.349202,9.36954791899712e-44
STRBP,2.7483902,1.8673755392081827e-43
TLE4,1.9910573,3.608925318811194e-43
BMP2K,3.9306846,3.677773244421063e-43
LINC01221,6.7388687,3.957256384382804e-43
GALNT7,3.0396254,6.304453513093616e-43
OXR1,2.5435524,7.21560178110844e-43
SEPTIN6,1.9520509,9.177532141622236e-43
RGS9,4.952482,3.213856681989271e-42
PLCB1,2.395666,5.833299874688116e-42
ZFP36L1,2.5134838,8.470346289770976e-42
ZNF710,4.4165573,4.988451043754892e-41
PLCL2,2.136779,5.16012160031254e-41
SMIM24,5.575984,6.629410898155881e-41
YWHAH,3.0383546,8.158110366791993e-41
MB,29.176123,9.497481742798742e-41
MACROH2A1,2.7289107,1.428090014756796e-40
