"","cid","Drug_Name","Response","MoA","Dose.nM.","Toxicity"
"1",387447,"bortezomib","High","NFkB_pathway_inhibitor_proteasome_inhibitor",461.5384,"Potentially toxic (low confidence)"
"2",6505803,"tanespimycin","High-to-moderate","HSP_inhibitor",353.0861,""
"3",53358942,"idasanutlin","High-to-moderate","MDM_inhibitor",438.7463,""
"4",11364421,"BI-2536","High-to-moderate","PLK_inhibitor",730,""
"5",49792852,"NMS-1286937","High-to-moderate","PLK_inhibitor",386.3246,""
"6",30323,"daunorubicin","High-to-moderate","RNA_synthesis_inhibitor_topoisomerase_inhibitor",933.3324,"Potentially toxic (low confidence)"
"7",25262965,"AZD8055","High-to-moderate","mTOR_inhibitor",245,""
"8",300471,"elesclomol","High-to-moderate","oxidative_stress_inducer",268.5658,""
"9",24800541,"delanzomib","High-to-moderate","proteasome_inhibitor",112.8205,"Potentially toxic (low confidence)"
"10",25183872,"ixazomib","High-to-moderate","proteasome_inhibitor",779.7153,""
"11",23635314,"KX2-391","High-to-moderate","src_inhibitor_tubulin_polymerization_inhibitor",461.5384,""
"12",41867,"epirubicin","High-to-moderate","topoisomerase_inhibitor",730,"Potentially toxic (low confidence)"
"13",4212,"mitoxantrone","High-to-moderate","topoisomerase_inhibitor",687.8984,"Potentially toxic (low confidence)"
"14",148124,"docetaxel","High-to-moderate","tubulin_polymerization_inhibitor",189.0625,"Potentially toxic (low confidence)"
"15",4122,"nocodazole","High-to-moderate","tubulin_polymerization_inhibitor",1000,""
"16",26596,"parbendazole","High-to-moderate","tubulin_polymerization_inhibitor",811.111,""
"20",46843057,"GSK2110183","Moderate","AKT_inhibitor",155.7453,""
"21",16038120,"NVP-TAE684","Moderate","ALK_tyrosine_kinase_receptor_inhibitor",155.2,""
"22",11442891,"danusertib","Moderate","Aurora_kinase_inhibitor_growth_factor_receptor_inhibitor",117.038,""
"23",71496458,"osimertinib","Moderate","EGFR_inhibitor",1000,""
"24",16722836,"TG-101348","Moderate","FLT3_inhibitor_JAK_inhibitor",270.9567,""
"25",11667893,"motesanib","Moderate","KIT_inhibitor_PDGFR_tyrosine_kinase_receptor_inhibitor_VEGFR_inhibitor",328,""
"26",56649450,"alpelisib","Moderate","PI3K_inhibitor",783.6,""
"27",25257557,"CX-5461","Moderate","RNA_polymerase_inhibitor",410.0896,""
"28",49836020,"birinapant","Moderate","XIAP_inhibitor",393.4074,""
"29",9936746,"OTX015","Moderate","bromodomain_inhibitor",220,""
"30",446541,"mycophenolic-acid","Moderate","dehydrogenase_inhibitor_inositol_monophosphatase_inhibitor",460,""
"31",3385,"5-fluorouracil","Moderate","thymidylate_synthase_inhibitor",526.6668,""
