"","cid","Drug_Name","Response","MoA","Dose.nM.","Toxicity"
"1",11538455,"JNJ-26481585","High","HDAC_inhibitor",420.51268,"Potentially toxic (low confidence)"
"2",6918837,"panobinostat","High","HDAC_inhibitor",730,""
"3",5352062,"romidepsin","High","HDAC_inhibitor",393.16208,"Potentially toxic (low confidence)"
"4",387447,"bortezomib","High","NFkB_pathway_inhibitor_proteasome_inhibitor",583.90609,"Potentially toxic (low confidence)"
"5",24800541,"delanzomib","High","proteasome_inhibitor",680.342,""
"6",11442891,"danusertib","High-to-moderate","Aurora_kinase_inhibitor_growth_factor_receptor_inhibitor",546.9715,""
"7",6505803,"tanespimycin","High-to-moderate","HSP_inhibitor",281.48122,""
"8",11364421,"BI-2536","High-to-moderate","PLK_inhibitor",730,""
"9",49792852,"NMS-1286937","High-to-moderate","PLK_inhibitor",294.30184,""
"10",30323,"daunorubicin","High-to-moderate","RNA_synthesis_inhibitor_topoisomerase_inhibitor",611.11115,""
"11",25183872,"ixazomib","High-to-moderate","proteasome_inhibitor",886.6666,""
"12",23635314,"KX2-391","High-to-moderate","src_inhibitor_tubulin_polymerization_inhibitor",461.5384,""
"13",104842,"SN-38","High-to-moderate","topoisomerase_inhibitor",476.92303,""
"14",24360,"camptothecin","High-to-moderate","topoisomerase_inhibitor",632.89729,""
"15",41867,"epirubicin","High-to-moderate","topoisomerase_inhibitor",770.5,""
"16",4212,"mitoxantrone","High-to-moderate","topoisomerase_inhibitor",550.1201,""
"17",26596,"parbendazole","High-to-moderate","tubulin_polymerization_inhibitor",489.9997,""
"21",24771867,"alisertib","Moderate","Aurora_kinase_inhibitor",1000,""
"22",16007391,"barasertib-HQPA","Moderate","Aurora_kinase_inhibitor",137.2,""
"23",46191454,"PHA-793887","Moderate","CDK_inhibitor",1000,""
"24",11152667,"AZD7762","Moderate","CHK_inhibitor",340.74044,""
"25",46213929,"LY2784544","Moderate","JAK_inhibitor",838,""
"26",53358942,"idasanutlin","Moderate","MDM_inhibitor",388.03387,""
"27",446541,"mycophenolic-acid","Moderate","dehydrogenase_inhibitor_inositol_monophosphatase_inhibitor",892,""
"28",119182,"clofarabine","Moderate","ribonucleotide_reductase_inhibitor",643.7776,""
