"","cid","Drug_Name","Response","MoA","Dose.nM.","Toxicity"
"1",6918837,"panobinostat","High","HDAC_inhibitor",730,"Potentially toxic (low confidence)"
"2",5352062,"romidepsin","High","HDAC_inhibitor",491.1682,"Potentially toxic (low confidence)"
"3",387447,"bortezomib","High","NFkB_pathway_inhibitor_proteasome_inhibitor",328.2049,""
"4",462382,"MG-132","High","proteasome_inhibitor",741.691,""
"5",24800541,"delanzomib","High","proteasome_inhibitor",470.7619,""
"6",104842,"SN-38","High","topoisomerase_inhibitor",584.6154,""
"7",148124,"docetaxel","High","tubulin_polymerization_inhibitor",484.375,""
"8",6918852,"R547","High-to-moderate","CDK_inhibitor",761.3848,""
"9",6505803,"tanespimycin","High-to-moderate","HSP_inhibitor",311.1108,""
"10",53358942,"idasanutlin","High-to-moderate","MDM_inhibitor",531.6238,""
"11",49792852,"NMS-1286937","High-to-moderate","PLK_inhibitor",319.0881,""
"12",30323,"daunorubicin","High-to-moderate","RNA_synthesis_inhibitor_topoisomerase_inhibitor",733.3331,""
"13",44224257,"filanesib","High-to-moderate","kinesin_inhibitor_kinesinlike_spindle_protein_inhibitor",1000,""
"14",25262965,"AZD8055","High-to-moderate","mTOR_inhibitor",350.2,""
"15",11556711,"carfilzomib","High-to-moderate","proteasome_inhibitor",320.9874,""
"16",25183872,"ixazomib","High-to-moderate","proteasome_inhibitor",811.1682,""
"17",24360,"camptothecin","High-to-moderate","topoisomerase_inhibitor",341.5676,""
"18",41867,"epirubicin","High-to-moderate","topoisomerase_inhibitor",865,""
"19",4122,"nocodazole","High-to-moderate","tubulin_polymerization_inhibitor",514.24,""
"20",26596,"parbendazole","High-to-moderate","tubulin_polymerization_inhibitor",360.3664,""
"26",24771867,"alisertib","Moderate","Aurora_kinase_inhibitor",1000,""
"27",11442891,"danusertib","Moderate","Aurora_kinase_inhibitor_growth_factor_receptor_inhibitor",230.5771,""
"28",16666708,"AZD8330","Moderate","MEK_inhibitor",438.1764,""
"29",446541,"mycophenolic-acid","Moderate","dehydrogenase_inhibitor_inositol_monophosphatase_inhibitor",925.641,""
"30",4212,"mitoxantrone","Moderate","topoisomerase_inhibitor",255.7399,""
