"","cid","Drug_Name","Response","MoA","Dose.nM.","Toxicity"
"1",11538455,"JNJ-26481585","High","HDAC_inhibitor",247.2935,"Potentially toxic (low confidence)"
"2",24800541,"delanzomib","High","proteasome_inhibitor",390.5386,"Potentially toxic (low confidence)"
"3",104842,"SN-38","High","topoisomerase_inhibitor",492.3077,"Potentially toxic (low confidence)"
"4",135564985,"ganetespib","High-to-moderate","-",540.8492,"Potentially toxic (low confidence)"
"5",11442891,"danusertib","High-to-moderate","Aurora_kinase_inhibitor_growth_factor_receptor_inhibitor",462.386,""
"6",6505803,"tanespimycin","High-to-moderate","HSP_inhibitor",281.4812,""
"7",11364421,"BI-2536","High-to-moderate","PLK_inhibitor",865,"Potentially toxic (low confidence)"
"8",49792852,"NMS-1286937","High-to-moderate","PLK_inhibitor",219.9428,""
"9",30323,"daunorubicin","High-to-moderate","RNA_synthesis_inhibitor_topoisomerase_inhibitor",1000,""
"10",45375953,"MLN0128","High-to-moderate","mTOR_inhibitor",295.1296,"Potentially toxic (low confidence)"
"11",300471,"elesclomol","High-to-moderate","oxidative_stress_inducer",260.9684,""
"12",25183872,"ixazomib","High-to-moderate","proteasome_inhibitor",811.1682,""
"13",23635314,"KX2-391","High-to-moderate","src_inhibitor_tubulin_polymerization_inhibitor",274.6436,""
"14",24360,"camptothecin","High-to-moderate","topoisomerase_inhibitor",370.3727,""
"15",41867,"epirubicin","High-to-moderate","topoisomerase_inhibitor",730,"Potentially toxic (low confidence)"
"16",4122,"nocodazole","High-to-moderate","tubulin_polymerization_inhibitor",1000,"Potentially toxic (low confidence)"
"17",26596,"parbendazole","High-to-moderate","tubulin_polymerization_inhibitor",537.3924,""
"23",46885626,"GSK1070916","Moderate","Aurora_kinase_inhibitor",370.46,""
"24",24771867,"alisertib","Moderate","Aurora_kinase_inhibitor",1000,""
"25",16007391,"barasertib-HQPA","Moderate","Aurora_kinase_inhibitor",290.4618,""
"26",46191454,"PHA-793887","Moderate","CDK_inhibitor",514,""
"27",5330286,"palbociclib","Moderate","CDK_inhibitor",1000,""
"28",11152667,"AZD7762","Moderate","CHK_inhibitor",274.6437,""
"29",71496458,"osimertinib","Moderate","EGFR_inhibitor",1000,""
"30",46213929,"LY2784544","Moderate","JAK_inhibitor",476.3532,""
"31",53358942,"idasanutlin","Moderate","MDM_inhibitor",388.0339,""
"32",49836020,"birinapant","Moderate","XIAP_inhibitor",431.2592,""
"33",446541,"mycophenolic-acid","Moderate","dehydrogenase_inhibitor_inositol_monophosphatase_inhibitor",429.5384,""
